text,label,prediction(label),confidence(fear),confidence(joy),confidence(love),confidence(sadness),confidence(anger)
jari jarinya jago gatau kali betapa menyiksanya berjam minggu ruang konsultasi nyeritain bikin ketakutan nginjek kaki rumah ,,joy,0.0,1.0,0.0,0.0,0.0
username bismillah ,,joy,0.0,1.0,0.0,0.0,0.0
momen terhubung mengenal eternalconnection ,,love,0.0,0.0,1.0,0.0,0.0
make sure ngatain orang jelek ,,anger,0.0,0.0,0.0,0.0,1.0
girlfriend always pujuk merajuk because dont want lose perasaan takut automatik sayang ,,sadness,0.0,0.0,0.0,1.0,0.0
heran driver gocar ngeluh macet kayak ngeluh kerja terserah ,,sadness,0.0,0.0,0.0,1.0,0.0
odong bohong odong haha bawa krts ,,fear,1.0,0.0,0.0,0.0,0.0
pengen nonton film dibioskop tiket ,,fear,1.0,0.0,0.0,0.0,0.0
wasit kemarin kepemimpinan bagus apan ,,anger,0.0,0.0,0.0,0.0,1.0
bikin status sosmed ngejelekin pacarna cewek giliran hadiah ajak jalan bikin status muntahin ajan ,,joy,0.0,1.0,0.0,0.0,0.0
miris,,sadness,0.0,0.0,0.0,1.0,0.0
selamat sayang ,,love,0.0,0.0,1.0,0.0,0.0
udah username project jatohnya scam fraud ,,anger,0.0,0.0,0.0,0.0,1.0
serius takut botak gara rontok parah potong rambut salon ,,fear,1.0,0.0,0.0,0.0,0.0
beburu cari provider ,,anger,0.0,0.0,0.0,0.0,1.0
dear username username username coba kaya sampe minus kaget bangun nyalain langsung palakin gitu makasih ,,sadness,0.0,0.0,0.0,1.0,0.0
pagi nonton berita headline bikin takut suami bunuh istri ,,anger,0.0,0.0,0.0,0.0,1.0
jatuh cinta ryan gosling notebook bosan nonton ulang land udah kali nonton land mata sayu ,,love,0.0,0.0,1.0,0.0,0.0
cinta dukungan terbatas berlindung badai shelteroflove ,,joy,0.0,1.0,0.0,0.0,0.0
kalo lihat kasmaran ngomong cinta ,,love,0.0,0.0,1.0,0.0,0.0
tersadar menceritakan mantan pacar ,,sadness,0.0,0.0,0.0,1.0,0.0
momen amarahmu menghancurkan sekitarmu destructiverage ,,anger,0.0,0.0,0.0,0.0,1.0
,,love,0.0,0.0,1.0,0.0,0.0
mencekam merasakan perasaan dingin wajar sekitarku ,,fear,1.0,0.0,0.0,0.0,0.0
darenya kalo salah pergi ,,love,0.0,0.0,1.0,0.0,0.0
ngurus jujur ,,sadness,0.0,0.0,0.0,1.0,0.0
kesel orang kalo duduk lesehan gitu lega ,,joy,0.0,1.0,0.0,0.0,0.0
kalo cowo suka serius cewe nunjukin usahanya disukai cewenya berusaha disukai orangtua cewenya hehe ,,joy,0.0,1.0,0.0,0.0,0.0
marah mengubah realitas ðÿðÿ realitywarper ,,anger,0.0,0.0,0.0,0.0,1.0
berasa baca novel ,,joy,0.0,1.0,0.0,0.0,0.0
perempuan cantik ,,love,0.0,0.0,1.0,0.0,0.0
cinta energi mengajarkan memaafkan melupakan ,,love,0.0,0.0,1.0,0.0,0.0
username username mending ngusut teroris pertahanan perdamaian nkri etdah ,,joy,0.0,1.0,0.0,0.0,0.0
indonesia brisik kampung orang jual susah ,,fear,1.0,0.0,0.0,0.0,0.0
sayang banget ,,love,0.0,0.0,1.0,0.0,0.0
serem malem malem akibat cerita nyokap kalo adik iparnya hantu kereta hantu gitu lenteng agung tebet kayanya ,,fear,1.0,0.0,0.0,0.0,0.0
momen amarahmu olah terbakar burningrage ,,anger,0.0,0.0,0.0,0.0,1.0
cinta menghargai perjalanan ,,love,0.0,0.0,1.0,0.0,0.0
indonesia milih artis difilter apaya yonglek gini followersnya bagusnya maju coba indonesia allah ,,joy,0.0,1.0,0.0,0.0,0.0
username username username pakai ,,fear,1.0,0.0,0.0,0.0,2.6996278547967213e-119
terhubung tujuan hidup mimpi ,,love,0.0,0.0,1.0,0.0,0.0
kelaperan stasiun beli paket roti duduk nyruput ,,anger,0.0,0.0,0.0,0.0,1.0
anjiir vallen digituin casually angry emang kaya gitu sebiasa orang negara eropa ,,anger,0.0,0.0,0.0,0.0,1.0
username sinis menegur kumpulan kelas doktoral jokes sexual mengarah harassment abuse really korelasi sekolah perilaku ,,anger,0.0,0.0,0.0,0.0,1.0
username bilang gitu kerja bener mending plenga plengo kerja nyata hasil drpd nyinyir hasil sukses pakde username pendukungnya ,,anger,0.0,0.0,0.0,0.0,1.0
pandangan mata ,,love,0.0,0.0,1.0,0.0,0.0
username username kalo jakarta jago nyembunyiin buktinya perusahaan offshore bikin namanya muncul panama paper jago banget temuin bukti ,,anger,0.0,0.0,0.0,0.0,1.0
sehari betah ,,sadness,0.0,5.576796580919969e-207,0.0,1.0,0.0
orang niat banget bikin akun gaib memaki memarahi orang marah akun gaib ,,anger,0.0,0.0,0.0,0.0,1.0
username takut jalanan rame ,,fear,1.0,0.0,0.0,0.0,0.0
kuliner hitz yogyakarta namanya ceplukan jaman suka mencari ceplukan kebun ,,joy,0.0,1.0,0.0,0.0,0.0
nntn seru finally mikir trnyata serunya krna proses pnangkapan kilah dikeluarka tersangk konyol kwkwkwk ,,joy,0.0,1.0,0.0,0.0,0.0
spontan nyalain flash nyari tissue lupa senter kamar sejajar lokasi tetesan ,,anger,0.0,0.0,0.0,0.0,1.0
marah meluap luap meledak readytoexplode ,,anger,0.0,0.0,0.0,0.0,1.0
semoga kedepannya kejadian barista username gancit ngeselin pesen espresso pahit manis kopi jual barang murah ,,sadness,0.0,0.0,0.0,1.0,0.0
driver gojek ,,joy,0.0,1.0,0.0,0.0,0.0
mempelajari cinta kasih kerendahan hati pencapaian tertinggi sekolah kristus bukti cemerlang guru john newton ,,sadness,0.0,0.0,0.0,1.0,0.0
cinta merasakan kedamaian kenyamanan ,,love,0.0,0.0,1.0,0.0,0.0
cerita horor malam huehehe bobo mandi biar dingin selimutan langsung bobo gitu udah mandi semprot muka pake mawar ,,sadness,0.0,0.0,0.0,1.0,0.0
jahat banget mbaknya ,,anger,0.0,0.0,0.0,0.0,1.0
menganggap sexual harrassment wajar alias seneng kalo ngelecehin vallen speak udah tindakan bener warning laki ,,anger,0.0,0.0,0.0,0.0,1.0
cinta energi menerima mencintai ,,love,0.0,0.0,1.0,0.0,0.0
allah membebani sesuai kesanggupannya pahala kebajikan diusahakannya siksa kejahatan dikerjakannya baqarah kuncinya usaha cari jalan solusinya ,,anger,0.0,0.0,0.0,8.33848189525423e-258,1.0
kesatuan bong hahaha habibie mencopot jabatan prabowo ulah wiranto ,,anger,0.0,0.0,0.0,0.0,1.0
selamat pulang ngantor selamat bermacet ,,love,0.0,0.0,1.0,0.0,0.0
hati bergetar kemarahan kuat ,,love,0.0,0.0,1.0,0.0,0.0
matahari terbenam perasaan hampa ,,love,0.0,0.0,1.0,0.0,0.0
alasan rela begadang ,,love,0.0,0.0,1.0,0.0,0.0
mengerikan lucu ,,fear,1.0,0.0,0.0,0.0,0.0
cerita dikisahkan istrinya gabisa keturunan ,,love,0.0,0.0,1.0,0.0,0.0
shawn mendes kalo nyanyi liat orangnya ,,joy,0.0,1.0,0.0,0.0,0.0
tema photo putri popok tidur siang hahahaha halo photo kimora username posting kimora lahir mohon doanya makasi ,,joy,0.0,1.0,0.0,0.0,0.0
momen perasaan takut melumpuhkanmu ,,love,0.0,0.0,1.0,0.0,0.0
username username menggelikannya emang kitabnya lempar lempar koin menggelikan ,,anger,0.0,0.0,0.0,0.0,1.0
ngurusin neraka orang ,,anger,0.0,0.0,0.0,0.0,1.0
baca,,fear,1.0,0.0,0.0,0.0,0.0
sebenernya penjemputan taxol ,,love,0.0,0.0,1.0,0.0,0.0
mbak suka ributin bodigardnya vela sukanya muterin halaman kosan maap mbak ,,sadness,0.0,0.0,0.0,1.0,0.0
rumor umpatan ,,fear,1.0,0.0,0.0,0.0,0.0
momen perasaan takut membuatmu berlari henti endlessrunning ,,sadness,0.0,0.0,0.0,1.0,0.0
anak tertawa riang hati hangat berbunga bunga childlikejoy ,,love,0.0,0.0,1.0,0.0,0.0
membatasi chatan main terserah karna larang kesempatan orang bohongin gede terserah ensenang menjalani hubungan iniw ,,anger,0.0,0.0,0.0,0.0,1.0
makasih semangat ,,love,0.0,0.0,1.0,0.0,0.0
olahraga username ,,love,0.0,0.0,1.0,0.0,0.0
username username maksud orang muslim meninggal shalattin beda politik islam berpolitik baginda nabi mengajarkan pantaskah partai dakwah ,,anger,0.0,0.0,0.0,0.0,1.0
emosi mentionan sheungwanie ,,love,0.0,0.0,1.0,0.0,0.0
sungguh cinta sejati orang sadar didekati orang kimiawi engkau sukai dekatilah tuhan menjadikan percik percikan reaksi kimia ,,sadness,0.0,0.0,0.0,1.0,0.0
username,,love,0.0,0.0,1.0,0.0,0.0
amarah membuatku meluapkan ,,anger,0.0,0.0,0.0,0.0,1.0
gitasav same case different reaction gitasav orang salah fokus gitasav ngerespon helmi salah fokus grammatical error ,,sadness,0.0,0.0,0.0,1.0,0.0
username username ,,love,0.0,0.0,1.0,0.0,0.0
sebel sekdes ,,anger,0.0,0.0,0.0,0.0,1.0
kesetiaan cinta diuji sakit hehe ngeliat sayangnya papa ngeliat papa capenya ngurusin nenek kakek sakit huhu berlinang ngomongin papa ,,sadness,0.0,0.0,0.0,1.0,0.0
mendengar suara langkah belakangku ,,fear,1.0,0.0,0.0,0.0,0.0
semoga anak thailand selamat yahhh kalo dokumenter asliii bikin merinding baca thread orang merinding akuny ,,fear,1.0,0.0,0.0,0.0,0.0
sekolah kucek kucek mata abis bulu mata rontok auto panik ,,fear,1.0,0.0,0.0,0.0,0.0
menggelikan ketimbang sexual harassment menimpa vallen politisi partai politik memanfaatkannya panggung pertunjukan dalih pembelaan korban hilihkinthil ,,anger,0.0,0.0,0.0,0.0,1.0
username sampe merinding hati aposeee liat explore bingung temen like follow bubble over curated haha serem kelebatan film berita kerusuhan menyertai foto ,,anger,0.0,0.0,0.0,0.0,1.0
gasuka gondok dongkol mangkel kagetnya meniqaaa semoga insyafmu abal abal semoga udah alim beneran inget habluminallah habluminannas niat maaf wanita disakitinya ,,sadness,0.0,0.0,0.0,1.0,0.0
pengalaman,,sadness,0.0,4.0456102277951974e-114,0.0,1.0,0.0
kalo kamuuuuuu ,,love,0.0,0.0,1.0,0.0,0.0
terkadangg kalo lapor berwajib alah dipegang ,,joy,0.0,1.0,0.0,0.0,0.0
gasuka gondok dongkol mangkel kagetnya meniqaaa semoga insyafmu abal abal semoga udah alim beneran inget habluminallah ,,fear,1.0,0.0,0.0,0.0,0.0
sayang internet friends peduli ,,anger,0.0,0.0,0.0,0.0,1.0
gara username googling berita confirm duhhh berita pasangan favorite jaman ,,joy,0.0,1.0,0.0,0.0,0.0
askmf idung abis kena bola kenceng lgsg muncul lecet merah tulang idung dokter takut tulang idung geser bener kenceng sakit nyeri skrg engga ,,fear,1.0,0.0,0.0,0.0,0.0
meledak kemarahan ,,anger,0.0,0.0,0.0,0.0,1.0
cinta pandangan hati anugerah cinta tumbuh hati meninggalkan sayang mendalam merasakan cinta tumbuh hati ,,sadness,0.0,0.0,0.0,1.0,0.0
bingung sebenernya cocok make salah ,,fear,1.0,0.0,0.0,0.0,0.0
disaat butuh uang membiayai uang semester kehidupanmu ,,sadness,0.0,0.0,0.0,1.0,0.0
tergila jatuh cinta sepertimu ,,love,0.0,0.0,1.0,0.0,0.0
,,love,0.0,0.0,1.0,0.0,0.0
dimohon paksa include harap sopan kalo labil gajelas will block taatin rule utamakan ,,anger,0.0,0.0,0.0,0.0,1.0
momen berjuang melewati hutan ketakutan lebat navigatingfear ,,fear,1.0,0.0,0.0,0.0,0.0
total duit diorang ngutang otak yahhh ditagih pura mati ,,anger,0.0,0.0,0.0,0.0,1.0
kaga kemaren payah bocah ,,sadness,0.0,0.0,0.0,1.0,0.0
momen sepenuhnya diterima dihargai teman teman sejati kebahagiaan sejati friendshipbond ,,love,0.0,0.0,1.0,0.0,0.0
tolong ditelusuri penangkapan ratusan terduga teroris ,,joy,0.0,1.0,0.0,0.0,0.0
,,love,0.0,0.0,1.0,0.0,0.0
gimana ngerubah instagram story viewers toxic people urutan buka ignya ,,fear,1.0,0.0,0.0,0.0,0.0
bknnya imam cabul dibelain tolol ,,anger,0.0,0.0,0.0,0.0,1.0
udah mandi ,,sadness,4.594848865081608e-14,5.1964474125748735e-196,0.0,0.999999999999954,0.0
diumumkan lulus ,,joy,0.0,1.0,0.0,0.0,0.0
kadang suka kasian tukang parkir ,,sadness,0.0,0.0,0.0,1.0,5.484043644749576e-95
dtng hidup ibumu keterpurukan dtng hidup kujawab dptkan ibumu hadir disaan menjauh meninggalkan kusendri hidupku ,,joy,0.0,1.0,0.0,0.0,0.0
permata profesional program cashback token ,,anger,0.0,0.0,0.0,0.0,1.0
muka dicari muka buktikan kinerja lahhh onoh cari muka doang ,,anger,0.0,0.0,0.0,0.0,1.0
hati terbakar kemarahan sulit kutahan ,,anger,0.0,0.0,0.0,0.0,1.0
kemarin sebulan lewati malino kalo pendakian skrang kayak sdah capai ,,sadness,0.0,0.0,0.0,1.0,0.0
momen lihat memicu amarah triggeredanger ,,fear,1.0,0.0,0.0,0.0,0.0
gini kejadiannya istirahat sekolah penasaran telunjuk staples udah nancep ,,sadness,0.0,6.885949890841272e-19,0.0,1.0,0.0
wktu sblm lebaran kmrn kiriman paket aceh ,,joy,0.0,1.0,0.0,0.0,0.0
suka ayah salah satunya kesetiaannya dimana buktiin kalo cinta seumur hidup berani ngelakuin apapun pntg hidup sang pujaan hati mati ,,joy,0.0,1.0,0.0,0.0,0.0
polri tambahan anggaran ,,anger,0.0,0.0,0.0,0.0,1.0
oldmoneygakngerasain beli dodol lipet dibentuk suka bentung burung bunyi bosen ,,sadness,0.0,0.0,0.0,1.0,0.0
park woojin disayang dicintai diapresiasi makanan enak pelukan hangat kopi panas cokelat panas terserah bahagia pokoknya intinya park woojin bahagia ,,anger,0.0,0.0,0.0,0.0,1.0
merinding takut takut kejebak imajinasi diam diam hidupku kehadiran orang sadar ,,fear,1.0,0.0,0.0,0.0,0.0
baca buku diawal senyum ,,sadness,0.0,3.8348655065967775e-87,0.0,1.0,0.0
username gimane wifi gangguan mulu kalah indie home kalo ampe gangguan pake indie home ,,anger,0.0,0.0,0.0,0.0,1.0
username username orang berotak jakarta bagus menilai kepentingan ,,anger,0.0,0.0,0.0,0.0,1.0
maling ngaku penjara penuh badan gede hsil gede ,,anger,0.0,0.0,0.0,0.0,1.0
malem kayak gini sllu resah ,,fear,1.0,0.0,0.0,0.0,0.0
cinta seni mengharapkan balasan ,,sadness,0.0,0.0,0.0,1.0,0.0
terbukti tangkap biangnya ,,anger,0.0,0.0,0.0,0.0,1.0
terhubung tujuan hidup mimpi ,,love,0.0,0.0,1.0,0.0,0.0
ngerasa enak kalo membiarkan orang ,,love,0.0,0.0,1.0,0.0,0.0
momen melampiaskan amarahmu needtoletitout ,,anger,0.0,0.0,0.0,0.0,1.0
bpip bpip mmberi tokoh bangsa terhormat bpip hidupkan peljaran budi pekerti ,,anger,0.0,0.0,0.0,0.0,1.0
tersisa semaraknya piala dunia menghabiskan tertinggal duduk berdua beradu bela tersenyum manja tatapanmu mempesona kuasa memendam berbeda tumbuh getar cinta dada ,,love,0.0,0.0,1.0,0.0,0.0
lokasi kamar lantai ,,sadness,0.0,0.0,0.0,1.0,0.0
tuntut karna takut memenuhi tuntutanmu ,,fear,1.0,0.0,0.0,0.0,0.0
ceritanya denger lagu trus sambungin speaker ,,fear,1.0,0.0,0.0,0.0,0.0
kasih sayang anugrah terbesar kehidupan memiliki orang memberikannya ikhlas tulus ,,sadness,0.0,0.0,0.0,1.0,0.0
moment pencitraan postingan pengen ngapus udah posting yaudah biarin ,,anger,0.0,0.0,0.0,0.0,1.0
sayang salah ,,love,0.0,0.0,1.0,0.0,0.0
hoohh white prince meneduhkan hatii dateng bawa bunga leleh kalo dateng bawa sekoper uang ,,sadness,0.0,0.0,0.0,1.0,0.0
fisik,,love,0.0,0.0,1.0,0.0,0.0
story tulisan stay with pegangan tangan ,,fear,1.0,0.0,0.0,0.0,0.0
merasakan jatuh cinta ,,love,0.0,0.0,1.0,0.0,0.0
curhat suka kpop suka minder temen temen suka kpop kadang risih temen ngomong stop korea shel ,,fear,1.0,0.0,0.0,0.0,0.0
teman lelakimu kerumah izin papa mengambilmu darinya papa berhati hati izin papa lelaku menggantikan posisinya ,,joy,0.0,1.0,0.0,0.0,0.0
username username username gini terooss template ,,anger,0.0,0.0,0.0,0.0,1.0
kalo foto profilku vulgar ,,love,0.0,0.0,1.0,0.0,0.0
cewek suka bola dimata cowok cantiknya nambah ,,joy,0.0,1.0,0.0,0.0,0.0
bibi esta username kesayangan banget ,,sadness,0.0,0.0,0.0,1.0,0.0
bule,,fear,1.0,0.0,0.0,0.0,2.780246338327744e-85
aktip twitter melarikan mencuit ,,fear,1.0,0.0,0.0,0.0,0.0
nggak berobat simple ,,joy,0.0,1.0,0.0,0.0,0.0
ngalamin,,fear,1.0,0.0,0.0,0.0,0.0
fans benci curry ngakuin points bahaya ngelempar bola masuknya ,,anger,0.0,0.0,0.0,1.0306735713765687e-136,1.0
orang dinas ngambil sampel hasilnya minggu ,,sadness,0.0,0.0,0.0,1.0,0.0
username takut pengen sekolah anak paralel gatau kalo univ dipengen beda ,,fear,1.0,0.0,0.0,0.0,0.0
konten seru temen ngga berbau seks ,,fear,1.0,0.0,0.0,0.0,0.0
username nggak butuh maaf ,,anger,0.0,0.0,0.0,2.3609068315193463e-160,1.0
merasakan kebahagiaan kebahagiaan orang cintai ,,love,0.0,0.0,1.0,0.0,0.0
salahnya mbak dishare ulang ,,anger,0.0,0.0,0.0,0.0,1.0
username darimana maukah walikota bonceng motor traika ,,joy,0.0,1.0,0.0,0.0,0.0
username username kontol jelek mengkerut twittermu ,,fear,1.0,0.0,0.0,0.0,0.0
melepaskan marah meledak ,,anger,0.0,0.0,0.0,0.0,1.0
terdengar nyata teriakan hiszbut tahrir ,,anger,0.0,0.0,0.0,0.0,1.0
mengintip lemari membuka pintunya ,,fear,1.0,0.0,0.0,0.0,0.0
ambang meledak amarah ,,anger,0.0,0.0,0.0,0.0,1.0
jujur kadang ngerasa sebel cinta gausah segitunya sungguh bnrbnr gamau kalah sumpah ,,anger,0.0,0.0,0.0,0.0,1.0
dipikir pikir ,,fear,1.0,0.0,0.0,0.0,0.0
sebenci bencinya sikap keras menyebalkanmu ,,fear,1.0,0.0,0.0,0.0,0.0
username username username username nyari panggungmu junjunganmu langsung ,,anger,0.0,0.0,0.0,8.723137142802796e-47,1.0
sempet nonton beritanya thailand ngerti bahasanya diem nyampe bali ngeh tonton berita ,,sadness,0.0,0.0,0.0,1.0,0.0
temen kuliah dimana binus temen jurusan psychology temen baca sifat coba baca orgnya nyet baca sifat orang gabakalan gagal percintaan mulus hidup fakefrendzz ,,fear,1.0,0.0,0.0,0.0,0.0
orang nyindir nyindir bisanya ,,anger,0.0,0.0,0.0,0.0,1.0
foto instagram lupa password instanya ngga buka salah pemerintah instagram pakai password lupa khan begoloe ,,joy,0.0,1.0,0.0,0.0,0.0
bilang kafir gabung khilafah alihkan penyelundup kaum bumidatar olah pancasila username ,,anger,0.0,0.0,0.0,0.0,1.0
langsung mewek baca thread ,,sadness,0.0,0.0,0.0,1.0,0.0
ikhlas masuk muncul kehidupan muncul ,,joy,0.0,1.0,0.0,0.0,0.0
,,love,0.0,0.0,1.0,0.0,0.0
ummat pelosok negeri berteriak berjanji berharap deklarasi engkau sudi pemimpin engkau pemimpin amanah kerna lihat engkau imam ummat tgbharapan ,,joy,0.0,1.0,0.0,0.0,0.0
sampe rumah ,,love,6.100305704111821e-53,0.0,1.0,0.0,0.0
salah ngalah ,,fear,1.0,0.0,0.0,0.0,0.0
bagiku cinta hati nyaman tenang dimana merasakan kenyamanan ketenangan lingkungan kasih sayang cinta kasih sayang ,,fear,1.0,0.0,0.0,0.0,0.0
happy birthday winnie poohnya embul cakep sukses producing lagu lagunya sukses nyuiste tetep tigernya love humble ,,joy,0.0,1.0,0.0,0.0,0.0
sahabat guru pakarkomunikasi neniyulianita teman teman akademisi selamat milad fikom unisba semoga lulusan fikom unisba berkualitas ,,joy,0.0,1.0,0.0,0.0,0.0
keren nggak bilang username anti islam ,,joy,0.0,1.0,0.0,0.0,0.0
samanye udeh maling jancok anjing siluman monyet hahahahaha hati maling ,,anger,0.0,0.0,0.0,0.0,1.0
username overload pengiriman tutup penerimaan pengiriman paket paket masuk terdistribusi sesuai estimasi mementingkan keuntungan pentingkan konsumen ,,anger,0.0,0.0,0.0,0.0,1.0
username username kreatif ,,joy,0.0,1.0,0.0,0.0,0.0
ngeliat mino ,,sadness,0.0,0.0,0.0,1.0,0.0
momen berhasil menolong orang senyuman hadiah ternilai helpinghand ,,joy,0.0,1.0,0.0,0.0,0.0
gemetar merasakan sentuhan dingin bahu ,,fear,1.0,0.0,0.0,0.0,0.0
alhamdulillah sayang username ambekin kalo males ,,fear,1.0,0.0,0.0,0.0,0.0
mimpin bupati tasik gubernur aduh kang kabupaten tasik akang masyarakat tidap puas kinerja akang pengen gubernur cing atuh mikil ,,joy,0.0,1.0,0.0,0.0,0.0
sich dipercaya polisi cekatan ,,anger,0.0,0.0,0.0,0.0,1.0
pasang cret kayak gitu mikir jihad melayani kalo ngga seneng pekerjaannya kejar passion ngga nyinyiri mulu ,,anger,0.0,0.0,0.0,0.0,1.0
perpus,,love,0.0,0.0,1.0,0.0,0.0
kuliah penyampaian informatif edukatif kalo liat rame berkomentar fokes profesi andaaa ajaaaaah ,,joy,0.0,1.0,0.0,0.0,0.0
username wkwkwkwk udah kali bandung ketemu ketemuuu wkwkkw ,,joy,0.0,1.0,0.0,0.0,0.0
berbeda kepercayaan athaya mencintainya ,,sadness,0.0,0.0,0.0,1.0,0.0
orang dewasa orang membenci mantannya mantan pacar suami membenci mantan faham arti cinta kasih sayang jarang orang ngata ngatain mantannya setan ,,sadness,0.0,0.0,0.0,1.0,0.0
cewek salut banget vallen cewek ,,joy,0.0,1.0,0.0,0.0,0.0
pemantauan sosialisasi wilayah melaksanakan patroli rutin ,,fear,1.0,0.0,0.0,0.0,0.0
wanita suka menghancurkan hubungan orang bangga berhasil merusak kebahagian orang silahkan ,,anger,0.0,0.0,0.0,0.0,1.0
miss,,fear,0.9999999994612492,0.0,2.5686270948690772e-276,5.387508248281664e-10,0.0
ditakutkan mahasiswi aman ,,joy,0.0,1.0,0.0,0.0,0.0
hancur sedih menghantamku ,,sadness,0.0,0.0,0.0,1.0,0.0
sebentar ketemu krucil krucil ponakan gemesin banget ,,love,0.0,0.0,1.0,0.0,0.0
username helloowww username asian games tinggal hitungan minggu jakarta kelar berbenah ,,anger,0.0,0.0,0.0,0.0,1.0
kesabaran menghadapi bertahan ,,sadness,0.0,0.0,0.0,1.0,0.0
memasuki menunggu ,,fear,1.0,0.0,0.0,0.0,0.0
ujung duit maning ,,sadness,0.0,0.0,0.0,1.0,1.9984536896925574e-220
mengerti teka teki kalimat indah sadari ,,joy,0.0,1.0,0.0,0.0,0.0
kalo bercanda inshaallah pisah biar berat gaboleh egois ,,sadness,0.0,0.0,0.0,1.0,0.0
situasi membuatmu marah merobek dimensi ruang dimensionripper ,,anger,0.0,0.0,0.0,0.0,1.0
yaqin pentagon shine lagu seribu umat wkwkwk ikon love scenario debessss hhhh dimana lagu anjerrr ,,joy,0.0,1.0,0.0,0.0,0.0
parungpanjang hadiri jutaan debu warga terdampak ispa jiwa ,,anger,0.0,0.0,0.0,0.0,1.0
ntan busuk banget ,,anger,0.0,0.0,0.0,0.0,1.0
kknlyfe paginya leyeh leyeh ,,joy,0.0,1.0,0.0,0.0,0.0
seringkali luput menyadari ,,love,0.0,0.0,1.0,0.0,0.0
dingin perhatian keras denganmu ,,sadness,0.0,0.0,0.0,1.0,0.0
ngumpulin upeti kanan kiri ngasi hadiah suami panerai anniversary special pengen kasih membahagiakan drpd menerima ngasi suami ,,joy,0.0,1.0,0.0,0.0,0.0
username username username negara didunia memendam liberalisme afganistan pakistan iran negara maju negara khilafah ,,anger,0.0,0.0,0.0,0.0,1.0
menghancurkan sekitarku amarahku ,,anger,0.0,0.0,0.0,0.0,1.0
berhari tidur kayaknya emang bawaan ngga tidur cepet cape gedebugan doang ngga tidur ,,sadness,0.0,0.0,0.0,1.0,0.0
hati terbakar kemarahan sulit kutahan ,,anger,0.0,0.0,0.0,0.0,1.0
semoga tayangnya film menit perantara menebarkan benih benih cinta ,,sadness,0.0,0.0,0.0,1.0,2.1271892257041855e-141
kemarahan membuatku mengamuk melepaskan amarah ,,anger,0.0,0.0,0.0,0.0,1.0
username asli editan username username username username kupas wilayah hukum keselamatan warga parungpanjang nomor sekiankan bermain ,,joy,0.0,1.0,0.0,0.0,0.0
akun base sayang makasih admin nyaaa purple username username username ,,joy,0.0,1.0,0.0,0.0,0.0
alasan mencintai ,,love,0.0,0.0,1.0,0.0,0.0
momen orang cintai ,,love,0.0,0.0,1.0,0.0,0.0
pengajian ustadznya provokator mulut jamban ,,anger,0.0,0.0,0.0,0.0,1.0
serius,,fear,1.0,0.0,0.0,0.0,0.0
kurangin intensitas berkabar ,,anger,0.0,0.0,0.0,0.0,1.0
username menghubungi halo tekan ,,joy,0.0,1.0,0.0,0.0,0.0
astaga bbrapa minggu kabar klian bareng event kangen miss much guys ,,joy,0.0,1.0,0.0,0.0,0.0
situ mikir kalo ngerjain tugas ,,sadness,0.0,0.0,0.0,1.0,0.0
kali tersenyum padaku ,,love,0.0,0.0,1.0,0.0,0.0
idolamu khilaf ,,sadness,0.0,0.0,0.0,1.0,0.0
username whatsapp terang terangan blokir ,,fear,1.0,0.0,0.0,0.0,0.0
kejauhan,,love,0.0,0.0,1.0,0.0,0.0
gusti,,love,0.0,0.0,1.0,0.0,0.0
cinta,,love,0.0,0.0,1.0,0.0,0.0
langsung musuhmu biang keroknya pelajari dalami langsung menuduh ,,anger,0.0,0.0,0.0,0.0,1.0
sayang karna gantiin bkan milik tetep sayang ,,anger,0.0,0.0,0.0,0.0,1.0
senyuman wajah orang asing jalan pengingat kebaikan ðÿ smileexchange ,,joy,0.0,1.0,0.0,0.0,0.0
keresahan mencari pelabuhan pemuas keresahan terdalam seniman agung semoga pencerahan sejati ,,joy,0.0,1.0,0.0,0.0,0.0
pagi siang jengkel antri siang sore jengkel salah paham buru buru solo sore malem jengkel kesebuah lokasi ancer gajelas selepas taraweh bareng fisika jengkel pagi ilang lgsg mood bikin seneng ,,sadness,0.0,0.0,0.0,1.0,0.0
kasih sayang tiada bertepi ,,sadness,0.0,0.0,0.0,1.0,0.0
sekian thread baca ,,fear,1.0,0.0,0.0,0.0,0.0
cinta mencinta dicinta rumit memaksakan irasional rasional jatuh cinta kepadamu ,,joy,0.0,1.0,0.0,0.0,0.0
addeh,,love,0.0,0.0,1.0,0.0,0.0
kemarahan membuatku meledak ,,anger,0.0,0.0,0.0,0.0,1.0
beranjak remaja kamh menuntut papa izin malan ,,joy,0.0,1.0,0.0,0.0,0.0
nyampah suka compare ,,fear,1.0,0.0,0.0,0.0,0.0
username username username username sinh drumer cinta terindah ,,love,0.0,0.0,1.0,0.0,0.0
anis bilang prabowo didukung mafia mangap fakta nyolot kunyuk username nggak sopan santunnya pemimpin ,,anger,0.0,0.0,0.0,0.0,1.0
beras dijual ,,love,0.0,0.0,1.0,0.0,0.0
cantik username langsung tidur ,,fear,1.0,0.0,0.0,0.0,0.0
belajar agama tuntas ngarang hidup dialquran trus jelek baca alquran ,,anger,0.0,0.0,0.0,0.0,1.0
mendengarkan musik sesuai moodmu hatimu bergerak irama kegembiraan ðÿµðÿ musicalbliss ,,sadness,0.0,0.0,0.0,1.0,0.0
